sol_id,sol
1,அ
2,ஆ
3,இ
4,ஈ
5,உ
6,ஊ
7,எ
8,ஏ
9,ஐ
10,ஒ
11,ஓ
12,ஔ
13,க்
14,ங்
15,ச்
16,ஞ்
17,ட்
18,ண்
19,த்
20,ந்
21,ப்
22,ம்
23,ய்
24,ர்
25,ல்
26,வ்
27,ழ்
28,ள்
29,ற்
30,ன்
31,ஃ
32,க
33,கா
34,கி
35,கீ
36,கு
37,கூ
38,கெ
39,கே
40,கை
41,கொ
42,கோ
43,கௌ
44,ங
45,ஙா
46,ஙி
47,ஙீ
48,ஙு
49,ஙூ
50,ஙெ
51,ஙே
52,ஙை
53,ஙொ
54,ஙோ
55,ஙௌ
56,ச
57,சா
58,சி
59,சீ
60,சு
61,சூ
62,செ
63,சே
64,சை
65,சொ
66,சோ
67,சௌ
68,ஞ
69,ஞா
70,ஞி
71,ஞீ
72,ஞு
73,ஞூ
74,ஞெ
75,ஞே
76,ஞை
77,ஞொ
78,ஞோ
79,ஞௌ
80,ட
81,டா
82,டி
83,டீ
84,டு
85,டூ
86,டெ
87,டே
88,டை
89,டொ
90,டோ
91,டௌ
92,ண
93,ணா
94,ணி
95,ணீ
96,ணு
97,ணூ
98,ணெ
99,ணே
100,ணை
101,ணொ
102,ணோ
103,ணௌ
104,த
105,தா
106,தி
107,தீ
108,து
109,தூ
110,தெ
111,தே
112,தை
113,தொ
114,தோ
115,தௌ
116,ந
117,நா
118,நி
119,நீ
120,நு
121,நூ
122,நெ
123,நே
124,நை
125,நொ
126,நோ
127,நௌ
128,ப
129,பா
130,பி
131,பீ
132,பு
133,பூ
134,பெ
135,பே
136,பை
137,பொ
138,போ
139,பௌ
140,ம
141,மா
142,மி
143,மீ
144,மு
145,மூ
146,மெ
147,மே
148,மை
149,மொ
150,மோ
151,மௌ
152,ய
153,யா
154,யி
155,யீ
156,யு
157,யூ
158,யெ
159,யே
160,யை
161,யொ
162,யோ
163,யௌ
164,ர
165,ரா
166,ரி
167,ரீ
168,ரு
169,ரூ
170,ரெ
171,ரே
172,ரை
173,ரொ
174,ரோ
175,ரௌ
176,ல
177,லா
178,லி
179,லீ
180,லு
181,லூ
182,லெ
183,லே
184,லை
185,லொ
186,லோ
187,லௌ
188,வ
189,வா
190,வி
191,வீ
192,வு
193,வூ
194,வெ
195,வே
196,வை
197,வொ
198,வோ
199,வௌ
200,ழ
201,ழா
202,ழி
203,ழீ
204,ழு
205,ழூ
206,ழெ
207,ழே
208,ழை
209,ழொ
210,ழோ
211,ழௌ
212,ள
213,ளா
214,ளி
215,ளீ
216,ளு
217,ளூ
218,ளெ
219,ளே
220,ளை
221,ளொ
222,ளோ
223,ளௌ
224,ற
225,றா
226,றி
227,றீ
228,று
229,றூ
230,றெ
231,றே
232,றை
233,றொ
234,றோ
235,றௌ
236,ன
237,னா
238,னி
239,னீ
240,னு
241,னூ
242,னெ
243,னே
244,னை
245,னொ
246,னோ
247,னௌ
251,அ
252,அஅ
253,அஆ
254,அஇ
255,அஈ
256,அஉ
257,அஊ
258,அஎ
259,அஏ
260,அஐ
261,அஒ
262,அஓ
263,அஔ
264,அக
265,அகா
266,அகி
267,அகீ
268,அகு
269,அகூ
270,அகே
271,அகை
272,அகோ
273,அகௌ
274,அக்க
275,அக்கா
276,அக்கி
277,அக்கீ
278,அக்கு
279,அக்கூ
280,அக்கெ
281,அக்கே
282,அக்கை
283,அக்கொ
284,அக்கோ
285,அக்கௌ
286,அங
287,அஙா
288,அஙி
289,அஙீ
290,அஙு
291,அஙூ
292,அஙே
293,அஙை
294,அஙோ
295,அங்க
296,அங்கா
297,அங்கி
298,அங்கீ
299,அங்கு
300,அங்கூ
301,அங்கே
302,அங்கை
303,அங்கோ
304,அங்கௌ
305,அங்ங
306,அங்ஙா
307,அங்ஙி
